Compound_CID,Molecular_Weight,Molecular_Formula,XLogP
4,75.11,C3H9NO,-1.0
6,202.55,C6H3ClN2O4,2.3
11,98.96,C2H4Cl2,1.5
13,181.4,C6H3Cl3,4.0
33,78.5,C2H3ClO,0.3
34,80.51,C2H5ClO,-0.1
47,130.139,C6H10O3,1.1
49,116.11,C5H8O3,0.7
51,146.1,C5H6O5,-0.9
58,102.09,C4H6O3,0.1
66,163.0,C6H4Cl2O,3.1
70,130.139,C6H10O3,0.9
72,154.12,C7H6O4,1.1
79,104.11,C6H4N2,0.2
86,153.14,C7H7NO3,0.9
96,102.09,C4H6O3,-0.4
107,150.17,C9H10O2,1.8
109,153.16,C3H7NO4S,-4.2
111,132.12,C4H8N2O3,-1.5
119,103.12,C4H9NO2,-3.2
125,124.14,C7H8O2,0.2
126,122.12,C7H6O2,1.4
127,152.15,C8H8O3,0.8
135,138.12,C7H6O3,1.6
137,131.13,C5H9NO3,-3.8
138,117.15,C5H11NO2,-2.6
144,220.22,C11H12N2O3,-1.2
174,62.07,C2H6O2,-1.4
176,60.05,C2H4O2,-0.2
177,44.05,C2H4O,-0.3
178,59.07,C2H5NO,-0.9
179,88.11,C4H8O2,-0.3
180,58.08,C3H6O,-0.1
190,135.13,C5H5N5,-0.1
191,267.24,C10H13N5O4,-1.1
196,146.14,C6H10O4,0.1
204,158.12,C4H6N4O3,-2.2
205,119.12,C4H9NO3,-2.9
220,261.279,C10H16NO3PS,2.6
222,17.031,H3N,-0.7
223,18.039,H4N+,-0.7
227,137.14,C7H7NO2,1.2
234,141.943,AsH3O4,
237,400.0,C23H30ClN3O,6.0
239,89.09,C3H7NO2,-3.0
240,106.12,C7H6O,1.5
241,78.11,C6H6,2.1
243,122.12,C7H6O2,1.9
244,108.14,C7H8O,1.1
247,117.15,C5H11NO2,0.5
248,118.15,C5H12NO2+,-0.1
259,79.9,Br-,1.0
260,80.91,BrH,1.0
261,72.11,C4H8O,0.9
262,90.12,C4H10O2,-0.9
263,74.12,C4H10O,0.9
264,88.11,C4H8O2,0.8
273,102.18,C5H14N2,-0.6
280,44.009,CO2,0.9
281,28.01,CO,0.7
284,46.025,CH2O2,-0.2
289,110.11,C6H6O2,0.9
294,342.3,C12H22O11,-4.7
297,16.043,CH4,0.6
298,323.13,C11H12Cl2N2O5,1.1
299,490.6,C10Cl10O,3.9
300,94.5,C2H3ClO2,0.2
301,144.55,C6H5ClO2,1.4
305,104.17,C5H14NO+,-0.4
309,174.11,C6H6O6,-1.0
311,192.12,C6H8O7,-1.7
312,35.45,Cl-,0.8
313,36.46,ClH,0.8
323,146.14,C9H6O2,1.4
325,150.22,C10H14O,2.3
326,148.2,C10H12O,2.7
332,150.17,C9H10O2,2.4
335,108.14,C7H8O,2.0
338,138.12,C7H6O3,2.3
342,108.14,C7H8O,2.0
356,114.23,C8H18,3.9
359,126.11,C6H6O3,0.2
370,170.12,C7H6O5,0.7
379,144.21,C8H16O2,3.0
385,160.17,C7H12O4,0.5
398,89.09,C3H7NO2,0.8
402,34.08,H2S,0.5
403,109.13,C6H7NO,0.0
409,178.23,C10H14N2O,0.7
428,74.13,C3H10N2,-1.4
444,239.74,C13H18ClNO,3.2
447,156.56,C7H5ClO2,2.7
449,148.16,C6H12O4,-1.0
454,128.21,C8H16O,2.7
457,137.16,C7H9N2O+,-0.1
460,124.14,C7H8O2,1.3
464,179.17,C9H9NO3,0.3
487,118.09,C4H6O4,0.1
525,134.09,C4H6O5,-1.3
527,58.08,C3H6O,0.6
533,80.99,H2Se,
546,140.03,C2H5O5P,-2.0
547,168.15,C8H8O4,0.5
564,131.17,C6H13NO2,-3.0
568,168.19,C12H8O,4.1
586,131.13,C4H9N3O2,-1.2
588,113.12,C4H7N3O,-1.8
597,111.1,C4H5N3O,-1.7
602,89.09,C3H7NO2,-3.0
612,90.08,C3H6O3,-0.7
637,227.22,C9H13N3O4,-1.8
650,86.09,C4H6O2,-1.3
660,148.16,C9H8O2,1.6
670,90.08,C3H6O3,-1.4
674,45.08,C2H7N,-0.2
679,78.14,C2H6OS,-0.6
681,153.18,C8H11NO2,-1.0
700,61.08,C2H7NO,-1.3
702,46.07,C2H6O,-0.1
712,30.026,CH2O,1.2
713,45.041,CH3NO,-0.8
727,290.8,C6H6Cl6,3.8
736,178.14,C6H10O6,-2.0
743,132.11,C5H8O4,-0.3
750,75.07,C2H5NO2,-3.2
751,90.08,C3H6O3,-1.6
753,92.09,C3H8O3,-1.8
757,76.05,C2H4O3,-1.1
760,74.04,C2H2O3,-0.3
763,117.11,C3H7N3O2,-1.6
767,62.025,CH2O3,-0.1
768,27.025,CHN,0.1
772,1134.9,C26H42N2O37S5,-10.8
774,111.15,C5H9N3,-0.7
780,168.15,C8H8O4,0.5
