CID,StringWithMarkup,ExperimentalValue,Unit,Temperature,Conditions,FullReference
2,3.6,3.6,,,,"ChEMBL | ChEMBL or ChEMBLdb is a manually curated chemical database of bioactive molecules with drug-like properties. It is maintained by the European Bioinformatics Institute (EBI), of the European Molecular ..."
4,,,,,,"IUPAC Digitized pKa Dataset | propane, 1-amino-2-hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
6,,,,,,"IUPAC Digitized pKa Dataset | 2,4-Dinitrochlorobenzene | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
7,,,,,,"IUPAC Digitized pKa Dataset | purine, 6-amino-9-ethyl- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
19,2.91 (at 25 °C),2.91,,25°C,,"DrugBank | 2,3-Dihydroxy-Benzoic Acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB01672"
19,,,,,,"IUPAC Digitized pKa Dataset | benzoic acid, 2,3-dihydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
34,pKa = 14.31 @ 25 °C,14.31,,,,"Hazardous Substances Data Bank (HSDB) | 2-CHLOROETHANOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/426"
34,,,,,,"IUPAC Digitized pKa Dataset | ethanol, 2-chloro- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
45,,,,,,"IUPAC Digitized pKa Dataset | propanedioic acid, hydroxy- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
58,,,,,,"IUPAC Digitized pKa Dataset | butanoic acid, 2-oxo- | The IUPAC Digitized pKa Dataset is an ongoing digitization of ""high-confidence"" pKa data from three reference works of Serjeant (1979), Perrin (1965) and Perrin Supplement (1972). | URL: https://github.com/IUPAC/Dissociation-Constants"
