CASRN,name,IUPAC_name,molecular_formula,SMILES,canonical_smiles,InChI,InChIKey,DTXSID,molecular_mass,Synonyms,foundby,source
100-00-5,4-Chloronitrobenzene,4-Chloronitrobenzene,C6H4ClNO2,O=[N+]([O-])c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Cl)cc1,InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,CZGCEKJOLUNIFY-UHFFFAOYSA-N,,157.56,4-Chloronitrobenzene;1-Chloro-4-nitrobenzene,CASRN,ChEBI
100-01-6,4-nitroaniline,4-nitroaniline,C6H6N2O2,Nc1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",TYMLOMAKGOJONV-UHFFFAOYSA-N,,138.13,4-NITROANILINE;1-amino-4-nitrobenzene;p-Nitroaniline;4-Nitrobenzeneamine;4-nitraniline;p-nitrophenylamine;4-Nitroaniline;p-nitraniline;p-aminonitrobenzene,CASRN,ChEBI
100-02-7,4-nitrophenol,4-nitrophenol,C6H5NO3,O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",BTJIUGUIPKRLHP-UHFFFAOYSA-N,,139.11,P-NITROPHENOL;4-Hydroxynitrobenzene;paranitrophenol;4-Nitrophenol;p-Nitrophenol;Niphen;PNP;p-hydroxynitrobenzene,CASRN,ChEBI
100-06-1,4-methoxyacetophenone,4-methoxyacetophenone,C9H10O2,COc1ccc(C(C)=O)cc1,COc1ccc(C(C)=O)cc1,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3",NTPLXRHDUXRPNE-UHFFFAOYSA-N,,150.18,acetanisole;4-methoxyphenyl methyl ketone;4-acetylanisole,CASRN,ChEBI
100-07-2,"Benzoyl chloride, 4-methoxy-",4-Methoxybenzoyl chloride,C8H7ClO2,COC1=CC=C(C=C1)C(Cl)=O,COc1ccc(C(=O)Cl)cc1,,MXMOTZIXVICDSD-UHFFFAOYSA-N,DTXSID9059204,170.59,"100-07-2; Benzoyl chloride, 4-methoxy-; 4-Anisoyl chloride; 4-Methoxybenzoic acid chloride; 4-Methoxybenzoyl chloride; 4-Methoxychlorobenzoyl; anisoyl chloride; Anisoylchlorid; Chlorure d'anisoyle; cloruro de anisoilo; NSC 86125; p-Anisoyl chloride; Para-anisoyl chloride; p-Methoxybenzoic acid chloride; p-Methoxybenzoyl chloride; UN 1729; 4-Methoxybenzoyl chloride; Benzoyl chloride, 4-methoxy-; Benzoic acid, 4-methoxy-, chloride; Benzoyl chloride, p-methoxy-; EINECS 202-816-4; UNII-TV6DMQ9451; Benzoyl chloride, 4-methoxy-; 4-Methoxybenzoyl chloride; P-ANISOYL CHLORIDE; p-Methoxybenzoic acid chloride; p-Methoxybenzoyl chloride; Anisoyl chloride; Benzoyl chloride, p-methoxy-; 4-Methoxybenzoic acid chloride; 4-Anisoyl chloride; UN 1729; NSC 86125; Benzoyl chloride, methoxy- (Related); Methoxybenzoyl chloride (Related); MXMOTZIXVICDSD-UHFFFAOYSA-N",CASRN,CompTox
100-09-4,4-Anisic acid,4-Methoxybenzoic acid,C8H8O3,COC1=CC=C(C=C1)C(O)=O,COc1ccc(C(=O)O)cc1,,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,DTXSID4059205,152.149,"100-09-4; 4-Anisic acid; Benzoic acid, 4-methoxy-; Dermosoft 688; 4-Acetylanisole; 4-METHOXYBENZOIC ACID; Acide p-anisique; acido p-anisico; Anisic acid; Draconic acid; NSC 32742; NSC 7926; p-anisic acid; p-Anissaure; p-Methoxybenzoic acid; 4-Methoxybenzoic acid; Benzoic acid, 4-methoxy-; 4-10-00-00346; Anisic acid, p-isomer; ANISIC ACID, PARA; BRN 0508910; EINECS 202-818-5; Kyselina 4-methoxybenzoova; UNII-4SB6Y7DMM3; 4-Methoxybenzoate; p-Methoxybenzoate; P-Anisic Acid; P-METHOXYBENZOIC ACID; 4-Methoxybenzoic acid; Benzoic acid, 4-methoxy-; anisic acid; 202-818-5; 4-methoxybenzoic acid (=p-anisic acid); ZEYHEAKUIGZSGI-UHFFFAOYSA-N",CASRN,CompTox
100-10-7,4-(dimethylamino)benzaldehyde,4-(dimethylamino)benzaldehyde,C9H11NO,[H]C(=O)c1ccc(N(C)C)cc1,CN(C)c1ccc(C=O)cc1,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",BGNGWHSBYQYVRX-UHFFFAOYSA-N,,149.193,"p-DAB;p-(Dimethylamino)benzaldehyde;N,N-Dimethyl-4-aminobenzaldehyde;N,N-Dimethyl-4-formylaniline;p-(N,N-Dimethylamino)benzaldehyde;4-N,N-Dimethylaminobenzaldehyde;4-Formyl-N,N-dimethylanilin;p-Formyl-N,N-dimethylaniline;p-Dimethylaminobenzaldehyde;para-Dimethylaminobenzaldehyde;N,N-Dimethyl-p-aminobenzaldehyde;p-Formyldimethylaniline;4-Dimethylaminobenzenecarbonal;Ehrlich's reagent;4-dimethylaminobenzaldehyde",CASRN,ChEBI
100-12-9,"Benzene, 1-ethyl-4-nitro-",1-Ethyl-4-nitrobenzene,C8H9NO2,CCC1=CC=C(C=C1)[N+]([O-])=O,CCc1ccc([N+](=O)[O-])cc1,,RESTWAHJFMZUIZ-UHFFFAOYSA-N,DTXSID9059206,151.165,"100-12-9; Benzene, 1-ethyl-4-nitro-; 1-Ethyl-4-nitrobenzene; Benzene, 1-ethyl-4-nitro-; EINECS 202-821-1; 4-Ethylnitrobenzene; p-Nitroethylbenzene; p-Nitrophenylethane; NSC 858; 1-Ethyl-4-nitrobenzene; 4-ETHYLNITROBENZENE; Benzene, 1-ethyl-4-nitro-; RESTWAHJFMZUIZ-UHFFFAOYSA-N",CASRN,CompTox
100-15-2,N-Methyl-4-nitroaniline,N-Methyl-4-nitroaniline,C7H8N2O2,CNC1=CC=C(C=C1)[N+]([O-])=O,CNc1ccc([N+](=O)[O-])cc1,,XIFJZJPMHNUGRA-UHFFFAOYSA-N,DTXSID7025635,152.153,"100-15-2; N-Methyl-4-nitroaniline; Benzenamine, N-methyl-4-nitro-; Aniline, N-methyl-p-nitro- (8CI); N-Methyl-4-nitroaniline; Benzenamine, N-methyl-4-nitro-; EINECS 202-823-2; p-(Methylamino)nitrobenzene; N-Methyl-p-nitraniline; N-Methyl-p-nitroaniline; N-Monomethyl-p-nitroaniline; 4-Nitro-N-methylaniline; NSC 5390; N-Methyl-4-nitroaniline; Benzenamine, N-methyl-4-nitro-; N-Methyl-p-nitroaniline; Aniline, N-methyl-p-nitro-; Methylnitroaniline, N-, 4-; n-methyl-p-nitroaniline_ (n-methyl-4-nitroaniline); XIFJZJPMHNUGRA-UHFFFAOYSA-N; Tox21_200001; NCGC00257555-01",CASRN,CompTox
100-16-3,4-nitrophenylhydrazine,4-nitrophenylhydrazine,C6H7N3O2,NNc1ccc([N+](=O)[O-])cc1,NNc1ccc([N+](=O)[O-])cc1,"InChI=1S/C6H7N3O2/c7-8-5-1-3-6(4-2-5)9(10)11/h1-4,8H,7H2",KMVPXBDOWDXXEN-UHFFFAOYSA-N,,153.14100000000002,p-Hydrazinonitrobenzene;p-Nitrophenylhydrazine,CASRN,ChEBI
