CID,StringWithMarkup,ExperimentalValue,Unit,Temperature,Conditions,FullReference
4,"greater than or equal to 100 mg/mL at 67.6 °F (NTP, 1992)",100,mg/mL,67.6°F,,CAMEO Chemicals | MONOISOPROPANOLAMINE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/8864
4,"SOL IN ALL PROPORTIONS IN WATER, ALC, ETHER, ACETONE, BENZENE, CARBON TETRACHLORIDE.",,,,,"Hazardous Substances Data Bank (HSDB) | 1-AMINO-2-PROPANOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5224"
4,1.00E+06 mg/L @ 25 °C (exp),1.00E+06,mg/L,25°C,,Human Metabolome Database (HMDB) | 1-Amino-propan-2-ol | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0012136
4,Solubility in water: soluble,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ISOPROPANOLAMINE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0905
4,Soluble in water,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 1-Amino-2-propanol | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/1581/
4,Soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 1-Amino-2-propanol | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/1581/
6,13.8 [ug/mL] (The mean of the results at pH 7.4),13.8,μg/mL,,,Burnham Center for Chemical Genomics | SID57264331 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
6,"Soluble in ether, benzene, and carbon disulfide; sparingly soluble in cold, freely soluble in hot alcohol",,,,,"Hazardous Substances Data Bank (HSDB) | 1-CHLORO-2,4-DINITROBENZENE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5306"
6,"In water, 9.24 mg/L at 25 °C",,,,,"Hazardous Substances Data Bank (HSDB) | 1-CHLORO-2,4-DINITROBENZENE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5306"
6,Solubility in water at 15Â °C: very poor,,,,,"ILO-WHO International Chemical Safety Cards (ICSCs) | 1-CHLORO-2,4-DINITROBENZENE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0416"
11,"5 to 10 mg/mL at 66 °F (NTP, 1992)",,,,,CAMEO Chemicals | ETHYLENE DICHLORIDE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/3410
11,,,,,,"DrugBank | Ethylene Dichloride | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03733"
11,"In water, 8,600 mg/L at 25 °C",,,,,"Hazardous Substances Data Bank (HSDB) | 1,2-Dichloroethane | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/65"
11,Solubility in water at 20 °C: 0.86% wt,0.86,%,20°C,,"Hazardous Substances Data Bank (HSDB) | 1,2-Dichloroethane | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/65"
11,0.869 g/100 mL water at 20 °C,,,,,"Hazardous Substances Data Bank (HSDB) | 1,2-Dichloroethane | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/65"
11,"Miscible with alcohol, chloroform, ether",,,,,"Hazardous Substances Data Bank (HSDB) | 1,2-Dichloroethane | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/65"
11,"For more Solubility (Complete) data for 1,2-Dichloroethane (6 total), please visit the HSDB record page.",,,,,"Hazardous Substances Data Bank (HSDB) | 1,2-Dichloroethane | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/65"
11,8.6 mg/mL at 25 °C,8.6,mg/mL,25°C,,"Human Metabolome Database (HMDB) | 1,2-Dichloroethane | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0029571"
11,"Solubility in water, g/100ml: 0.87",,,,,"ILO-WHO International Chemical Safety Cards (ICSCs) | 1,2-DICHLOROETHANE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0250"
11,0.9%,0.9,%,,,"The National Institute for Occupational Safety and Health (NIOSH) | Ethylene dichloride | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0271.html"
13,"less than 1 mg/mL at 70 °F (NTP, 1992)",1,mg/mL,70°F,,"CAMEO Chemicals | 1,2,4-TRICHLOROBENZENE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/10062"
13,"Sparingly soluble in alcohol. Miscible with ether, benzene, petroleum ether, carbon disulfide",,,,,"Hazardous Substances Data Bank (HSDB) | 1,2,4-TRICHLOROBENZENE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/1105"
13,"In water, 49.0 mg/L at 25 °C",,,,,"Hazardous Substances Data Bank (HSDB) | 1,2,4-TRICHLOROBENZENE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/1105"
13,"Solubility in water, mg/l: 34.6",,,,,"ILO-WHO International Chemical Safety Cards (ICSCs) | 1,2,4-TRICHLOROBENZENE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=1049"
13,0.003%,0.003,%,,,"The National Institute for Occupational Safety and Health (NIOSH) | 1,2,4-Trichlorobenzene | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0627.html"
33,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)",100,mg/mL,66°F,,CAMEO Chemicals | 2-CHLOROETHANAL | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/2867
33,Miscible in all proportions with water,,,,,"Hazardous Substances Data Bank (HSDB) | CHLOROACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/2521"
33,Soluble in ether,,,,,"Hazardous Substances Data Bank (HSDB) | CHLOROACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/2521"
33,Soluble in acetone and methanol,,,,,"Hazardous Substances Data Bank (HSDB) | CHLOROACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/2521"
33,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | CHLOROACETALDEHYDE (40% SOLUTION) | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0706
33,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Chloroacetaldehyde | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0118.html"
34,"greater than or equal to 100 mg/mL at 66 °F (NTP, 1992)",100,mg/mL,66°F,,CAMEO Chemicals | ETHYLENE CHLOROHYDRIN | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/681
34,"SOL IN ALL PROPORTIONS IN WATER, ALC, ORG SOLVENTS; SLIGHTLY SOL IN ETHER",,,,,"Hazardous Substances Data Bank (HSDB) | 2-CHLOROETHANOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/426"
34,SOL IN VARIOUS RESINS,,,,,"Hazardous Substances Data Bank (HSDB) | 2-CHLOROETHANOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/426"
34,Infinitely soluble in aqueous solution (1X10+6 mg/l @ 25 °C),1e+6,mg/l,25°C,,"Hazardous Substances Data Bank (HSDB) | 2-CHLOROETHANOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/426"
34,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | 2-CHLOROETHANOL | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0236
34,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Ethylene chlorohydrin | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0268.html"
47,Soluble in water,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Methyl-2-oxopentanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/453/
47,Soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Methyl-2-oxopentanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/453/
49,Soluble in water,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Methyl-2-oxobutanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/460/
49,Soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 3-Methyl-2-oxobutanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/460/
51,,,,,,"DrugBank | Oxogluric acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB08845"
51,541.5 mg/mL,541.5,mg/mL,,,Human Metabolome Database (HMDB) | Oxoglutaric acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000208
51,soluble in water at >1000 g/l at 20ï¿½C and petrolatum at <100 g/kg at 20ï¿½C,1000,g/l,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 2-Oxopentanedioic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/455/
58,119 mg/mL,119,mg/mL,,,Human Metabolome Database (HMDB) | 2-Ketobutyric acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000005
58,soluble in water and alcohol,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 2-Oxobutyric acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/155/
66,"less than 1 mg/mL at 68 °F (NTP, 1992)",1,mg/mL,68°F,,"CAMEO Chemicals | 2,5-DICHLOROPHENOL | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/20162"
66,"Very soluble in ethanol, ethyl ether; soluble in benzene, petroleum ether",,,,,"Hazardous Substances Data Bank (HSDB) | 2,5-DICHLOROPHENOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4287"
66,"In water, 2,000 mg/L at 25 °C",,,,,"Hazardous Substances Data Bank (HSDB) | 2,5-DICHLOROPHENOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4287"
66,2 mg/mL at 25 °C,2,mg/mL,25°C,,"Human Metabolome Database (HMDB) | 2,5-Dichlorophenol | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0041800"
66,"Solubility in water, g/100ml: 0.2 (poor)",,,,,"ILO-WHO International Chemical Safety Cards (ICSCs) | 2,5-DICHLOROPHENOL | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0439"
70,32 mg/mL,32,mg/mL,,,Human Metabolome Database (HMDB) | Ketoleucine | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000695
70,Soluble in water,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Methyl-2-oxopentanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/454/
70,Soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Methyl-2-oxopentanoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/454/
72,,,,,,"DrugBank | 3,4-Dihydroxybenzoic Acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03946"
72,18.2 mg/mL at 14 °C,18.2,mg/mL,14°C,,Human Metabolome Database (HMDB) | Protocatechuic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0001856
